checking_status,duration,credit_history,purpose,amount,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,existing_credits,job,own_telephone,foreign_worker,class
<0,lo_1_year,critical/other existing ,radio/tv,1000_2000,no known savings,>=7,male single,none,real estate,none,own,two,skilled,yes,yes,good
0<=X<200,up_2_years,existing paid,radio/tv,up_2000,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,one,skilled,none,yes,bad
no checking,lo_1_year,critical/other existing ,education,up_2000,<100,4<=X<7,male single,none,real estate,none,own,one,unskilled resident,none,yes,good
<0,up_2_years,existing paid,furniture/equipment,up_2000,<100,4<=X<7,male single,guarantor,life insurance,none,for free,one,skilled,none,yes,good
<0,1_2_years,delayed previously,new car,up_2000,<100,1<=X<4,male single,none,no known property,none,for free,two,skilled,none,yes,bad
no checking,up_2_years,existing paid,education,up_2000,no known savings,1<=X<4,male single,none,no known property,none,for free,one,unskilled resident,yes,yes,good
no checking,1_2_years,existing paid,furniture/equipment,up_2000,500<=X<1000,>=7,male single,none,life insurance,none,own,one,skilled,none,yes,good
0<=X<200,up_2_years,existing paid,used car,up_2000,<100,1<=X<4,male single,none,car,none,rent,one,high qualif/self emp/mgm,yes,yes,good
no checking,lo_1_year,existing paid,radio/tv,up_2000,>=1000,4<=X<7,male div/sep,none,real estate,none,own,one,unskilled resident,none,yes,good
0<=X<200,up_2_years,critical/other existing ,new car,up_2000,<100,unemployed,male mar/wid,none,car,none,own,two,high qualif/self emp/mgm,none,yes,bad
0<=X<200,lo_1_year,existing paid,new car,1000_2000,<100,<1,female div/dep/mar,none,car,none,rent,one,skilled,none,yes,bad
<0,up_2_years,existing paid,business,up_2000,<100,<1,female div/dep/mar,none,life insurance,none,rent,one,skilled,none,yes,bad
0<=X<200,lo_1_year,existing paid,radio/tv,1000_2000,<100,1<=X<4,female div/dep/mar,none,car,none,own,one,skilled,yes,yes,good
<0,1_2_years,critical/other existing ,new car,1000_2000,<100,>=7,male single,none,car,none,own,two,unskilled resident,none,yes,bad
<0,1_2_years,existing paid,new car,1000_2000,<100,1<=X<4,female div/dep/mar,none,car,none,rent,one,skilled,none,yes,good
<0,1_2_years,existing paid,radio/tv,1000_2000,100<=X<500,1<=X<4,female div/dep/mar,none,car,none,own,one,unskilled resident,none,yes,bad
no checking,1_2_years,critical/other existing ,radio/tv,up_2000,no known savings,>=7,male single,none,life insurance,none,own,two,skilled,none,yes,good
<0,up_2_years,no credits/all paid,business,up_2000,no known savings,<1,male single,none,car,bank,own,three,skilled,none,yes,good
0<=X<200,1_2_years,existing paid,used car,up_2000,<100,>=7,female div/dep/mar,none,no known property,none,for free,one,high qualif/self emp/mgm,yes,yes,bad
no checking,1_2_years,existing paid,radio/tv,up_2000,500<=X<1000,>=7,male single,none,car,none,own,one,skilled,yes,yes,good
no checking,lo_1_year,critical/other existing ,new car,up_2000,<100,1<=X<4,male single,none,car,none,own,three,skilled,yes,yes,good
<0,lo_1_year,existing paid,radio/tv,up_2000,500<=X<1000,1<=X<4,male single,none,real estate,none,rent,one,skilled,none,yes,good
<0,lo_1_year,critical/other existing ,new car,up_2000,<100,<1,male single,none,real estate,none,rent,two,unskilled resident,none,no,good
